location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
MARSHALLS8,11.406182,166.225151,Oceanic,28.0468528,29.1213298,29.76969508,30.85839302,0.867947712
MARSHALLS9,11.547696,162.625026,Oceanic,28.11840479,29.17872914,29.83450154,30.93199223,0.969090598
MAURITIUS1,-20.199694,57.882244,Oceanic,25.46544942,26.33853444,26.84080953,27.70761124,2.166019894
MAURITIUS2,-16.626827,59.746483,Oceanic,26.1641713,27.12170049,27.58914282,28.48597026,2.017896455
Moorea,-17.218109,-150.529135,Oceanic,27.52827507,28.24722725,28.69329099,29.51557112,1.237860826
MTMNM,20.539723,145.027724,Oceanic,27.64805519,28.64145679,28.99878863,30.23404203,2.112123076
NAURU,-0.551855,166.991279,Oceanic,29.03785004,30.15508603,30.89839624,31.92969922,0.139038553
NewCaledonia,-21.931603,167.410581,Oceanic,25.10921903,26.02398572,26.44539228,27.556962,1.949172727
NEWCALEDONIA2,-19.409038,163.396801,Oceanic,25.94969086,26.75225027,27.28243877,28.37174973,1.827621106
Nikumaroro,-4.665066,-174.648987,Oceanic,29.08623199,30.07539075,30.63790334,31.65690969,0.221722667
Ningaloo,-21.359493,114.574227,Continental,25.72950236,26.80819982,27.30011037,28.25253944,2.096601023
NMI,17.29025,146.040849,Oceanic,28.180644,29.19067182,29.78783598,30.91577024,1.509941371
Oahu,21.112612,-157.8428,Oceanic,25.34081583,26.09298486,26.39469487,27.86102762,1.425615492
Okinawa,26.431233,128.151959,Oceanic,25.12383245,26.12441838,26.54320704,27.29022801,3.456962432
OMAN1,17.104626,55.358463,Continental,26.12589667,27.36560843,27.7233337,28.63012437,1.976668
OMAN2,19.606522,57.98953,Continental,25.39206489,26.70812973,27.02546371,27.95985251,1.781108
OMAN3,22.54705,59.970242,Continental,26.58251471,27.63156607,27.91574896,28.85073263,2.601697
Oman_Central,23.871852,58.154952,Continental,27.77016042,29.007547,29.35311635,30.39710795,3.853729
Oman_North,25.652312,56.559259,Continental,27.91431338,29.13263315,29.64184825,30.62975502,4.673049
Orona,-4.496272,-171.326664,Oceanic,28.81118095,29.80006326,30.33141372,31.37208284,0.249396371
Palau,7.336956,134.896625,Oceanic,28.92404266,29.8753436,30.3893991,31.54395449,0.785070833
PERSIAN_GULF1,24.876601,52.267947,Continental,28.37724075,29.48035838,30.12163264,31.11425095,5.70701
PERSIAN_GULF2,25.922265,55.404895,Continental,27.42572566,28.64574011,29.23287135,30.1806863,5.021944
PERSIAN_GULF3,28.931301,48.530505,Continental,24.7457171,25.8664315,26.52425977,27.52134017,6.760001295
PHOENIX4,-1.609742,-175.019432,Oceanic,28.49322647,29.66386602,30.28721646,31.47568853,0.305233348
PNG1,-11.526188,154.394704,Oceanic,28.10694297,29.00258785,29.63316036,30.85524644,1.276008818
PNG10,-1.557145,145.490496,Oceanic,29.28153763,30.19376069,31.03929902,31.97404777,0.348897189
PNG11,-0.661347,134.491093,Continental,29.26577241,30.18570895,30.69390173,31.74078012,0.359288538
PNG2,-10.178034,147.202084,Continental,27.44625126,28.28545363,28.77168258,29.84160369,1.480932265
PNG3,-9.341393,153.293544,Oceanic,28.67123612,29.59404217,30.15279066,31.22456012,1.081795894
PNG4,-8.626181,148.855357,Continental,29.06996095,29.87629564,30.36932695,31.35296648,1.138648538
PNG5,-8.604589,137.803267,Continental,27.8278104,28.54440726,28.99323653,30.05265235,1.947748682
PNG6,-6.308357,151.587229,Continental,29.2310106,30.08794305,30.73779161,31.71459888,0.851451477
PNG7,-5.122475,146.279106,Continental,28.95406055,29.84558429,30.46163043,31.43876234,0.616796614
PNG9,-2.088411,140.90634,Continental,29.16348348,30.00945719,30.5632429,31.44977905,0.399726114
Pohnpei,6.881046,158.01474,Oceanic,28.99339922,30.03080016,30.64736981,31.70854293,0.492604477
Pompey,-22.603091,151.242089,Continental,24.55153932,25.47789608,25.81756766,26.8899879,2.881560129
RED_SEA1,12.973276,43.191126,Continental,28.34469528,29.6093282,30.14096641,31.19870135,2.502731576
RED_SEA10,23.014199,38.647467,Continental,27.96265125,29.2493756,30.03290984,30.90396849,2.909076152
RED_SEA11,24.67837,35.243782,Continental,26.11741087,27.39823362,28.1651897,29.11623874,2.916342659
RED_SEA12,25.070229,36.825247,Continental,26.47793476,27.76170831,28.53695347,29.44800732,2.877317508
RED_SEA13,26.881314,34.154469,Continental,25.20489019,26.48866374,27.2639089,28.17496275,2.657900091
RedSea_North,27.139894,35.379339,Continental,25.34047739,26.23167472,26.99202209,27.99869908,2.626838538
RED_SEA2,15.022351,42.74557,Continental,29.04720777,30.3968553,31.02553673,31.98249449,3.132717015
RED_SEA3,16.052237,40.406992,Continental,29.19327305,30.56436934,31.14639424,32.08006428,2.977242591
RED_SEA5,18.340332,38.534812,Continental,29.29310015,30.68994819,31.31234173,32.22449053,2.787713477
RED_SEA6,19.041948,40.861865,Continental,29.39030736,30.71771673,31.40053787,32.31873525,2.731151591
RED_SEA7,20.44995,37.407082,Continental,28.56457138,29.78924713,30.56771978,31.39017334,2.809112735
RED_SEA9,22.633696,36.458301,Continental,27.15759106,28.40881151,29.18944314,30.09425869,2.933133992
REUNION,-21.006106,55.813584,Oceanic,25.48367952,26.37747504,26.8821811,27.67544565,2.187399598
RODRIGUES,-19.662518,63.282179,Oceanic,25.28677193,26.18121315,26.72199735,27.58057533,1.995645561
Rose,-14.566177,-168.06268,Oceanic,28.34307556,29.09082616,29.75494614,30.64744314,0.813551727
ROTUMA,-12.50453,177.169737,Oceanic,28.6882991,29.50014832,30.12764949,31.10260549,0.739218515
Rowley,-17.323016,119.126317,Oceanic,27.60517204,28.72326616,29.18322227,30.24678097,2.283886015
Saipan,15.02902,145.926726,Oceanic,28.40422684,29.35375204,30.01707093,31.14037822,1.265356591
SAMOA1,-19.001846,-169.637248,Oceanic,26.85052339,27.74617693,28.14046149,29.03130342,1.366282606
SATAWAN,5.301598,153.787921,Oceanic,29.10899384,30.16028168,30.79460328,31.83222484,0.3550815
Savaii,-13.717838,-172.697997,Oceanic,28.69740188,29.43716501,30.17008814,31.04126556,0.804656667
Scott,-13.982581,122.054051,Oceanic,28.43586548,29.41568255,29.98514297,31.04876284,1.892807644
SeyAm,-10.360406,56.687671,Oceanic,27.38883675,28.49622963,28.84336327,29.92108086,1.7363275
